name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
MAYFLOWER,TX,Newton,1912.0,1951.0,True,1.0,39.0,31.09447,-93.72939,Texas
MAYTOWN,WA,Thurston,1922.0,1928.0,True,4.0,6.0,46.8976,-122.9435,Washington
MAYWOOD,CA,Los Angeles,1934.0,1973.0,True,1.0,39.0,33.98771,-118.188,California
MCCANN,CA,Humboldt,1919.0,1959.0,True,1.0,40.0,40.32347,-123.8361,California
MCCARTHY,AK,,1912.0,1943.0,True,3.0,31.0,64.1525,-145.8422,Alaska
MCCLELLAN,CA,Sacramento,1949.0,1956.0,True,1.0,7.0,38.6337,-121.4244,California
MCCLELLAN FIELD,CA,Sacramento,1940.0,1949.0,True,1.0,9.0,38.6675,-121.4008,California
MCCONE,MT,Dawson/McCone,1916.0,1924.0,False,4.0,8.0,47.56557,-104.6444,Montana
MCCONE CITY,MT,McCone,1935.0,1941.0,True,3.0,6.0,48.03752,-106.4145,Montana
MCCOOK,TX,Hidalgo,1935.0,1938.0,True,3.0,3.0,26.48368,-98.39085,Texas
MCCORD,AK,,1930.0,1931.0,True,6.0,1.0,57.13944,-153.2011,Alaska
MCCORNICK,UT,Millard,1920.0,1930.0,True,4.0,10.0,39.21552,-112.4083,Utah
MCCREDIE,WA,Klickitat,1926.0,1934.0,True,3.0,8.0,45.82069,-119.9978,Washington
MCCREDIE SPRINGS,OR,Lane,1926.0,1953.0,False,2.0,27.0,43.70985,-122.2889,Oregon
MCCUE,WA,Douglas,1916.0,1920.0,True,5.0,4.0,47.47763,-119.8853,Washington
